frame_index,timestamp_sec,classification,truth
0,0,1,0
1,0.333333333,1,0
2,0.666666667,1,0
3,1,1,1
4,1.333333333,1,0
5,1.666666667,1,1
6,2,1,1
7,2.333333333,1,1
8,2.666666667,1,1
9,3,1,1
10,3.333333333,1,1
11,3.666666667,1,1
12,4,1,1
13,4.333333333,1,1
14,4.666666667,1,1
15,5,1,1
16,5.333333333,1,1
17,5.666666667,1,1
18,6,1,1
19,6.333333333,1,1
20,6.666666667,1,1
21,7,1,1
22,7.333333333,1,1
23,7.666666667,1,1
24,8,1,1
25,8.333333333,1,0
26,8.666666667,1,0
27,9,1,0
28,9.333333333,1,0
29,9.666666667,1,1
30,10,0,1
31,10.33333333,1,1
32,10.66666667,1,1
33,11,1,1
34,11.33333333,1,1
35,11.66666667,1,1
36,12,1,1
37,12.33333333,1,1
38,12.66666667,1,1
39,13,1,1
40,13.33333333,1,1
41,13.66666667,1,1
42,14,1,1
43,14.33333333,1,1
44,14.66666667,1,1
45,15,1,0
46,15.33333333,1,0
47,15.66666667,1,0
48,16,1,0
49,16.33333333,1,0
50,16.66666667,1,0
51,17,1,0
52,17.33333333,-1,-1
53,17.66666667,-1,-1
54,18,0,-1
55,18.33333333,-1,-1
56,18.66666667,-1,-1
57,19,-1,-1
58,19.33333333,-1,-1
59,19.66666667,-1,-1
60,20,-1,-1
61,20.33333333,-1,-1
62,20.66666667,-1,-1
63,21,-1,-1
64,21.33333333,-1,-1
65,21.66666667,-1,-1
66,22,-1,-1
67,22.33333333,-1,-1
68,22.66666667,-1,-1
69,23,-1,-1
70,23.33333333,0,-1
71,23.66666667,0,-1
72,24,0,-1
73,24.33333333,0,-1
74,24.66666667,-1,-1
75,25,0,-1
76,25.33333333,0,-1
77,25.66666667,-1,0
78,26,-1,0
79,26.33333333,-1,0
80,26.66666667,-1,-1
81,27,-1,-1
82,27.33333333,-1,-1
83,27.66666667,-1,-1
84,28,-1,-1
85,28.33333333,-1,-1
86,28.66666667,-1,-1
87,29,-1,-1
88,29.33333333,-1,-1
89,29.66666667,-1,-1
90,30,-1,-1
91,30.33333333,-1,-1
92,30.66666667,-1,-1
93,31,-1,-1
94,31.33333333,-1,-1
95,31.66666667,-1,-1
96,32,-1,-1
97,32.33333333,-1,-1
98,32.66666667,-1,-1
99,33,-1,0
100,33.33333333,-1,0
101,33.66666667,-1,0
102,34,-1,0
103,34.33333333,-1,0
104,34.66666667,-1,0
105,35,-1,0
106,35.33333333,-1,0
107,35.66666667,-1,0
108,36,-1,0
109,36.33333333,-1,0
